date,venue,city,state,country,setlist,link
2015.01.03,Fillmore Auditorium,Denver,CO,USA,"SET I: Epirus > We'll Meet In Our Dreams, Arigato, Blu Mood, Peoples, Love Don't Terrorize, The Rabble, Ramone & Emiglio SET II: Shock Doctrine, Instantly, Hubble, One a Day (Sub-ID Remix), Circus, Rent > Sweet Dreams > Rent E: Grizzly, ...And Some Are Angels > Breathe In (Part II)",http://digital.1320records.com/search/release.php?RELEASE_ID=1376
2015.01.02,Fillmore Auditorium,Denver,CO,USA,"SET I: Metameme, Grow, Oil & Water, Four Year Puma, Trinocular > Vibyl, Nautilus, Aimlessly (Ending), Crystal Instrument SET II: World Go Round > Totem, Mobsters > Too High > Mobsters, Glogli, Breathe In (Part I), Abcees (Ending), Walk To The Light > Really What? E: Phoneme",http://digital.1320records.com/search/release.php?RELEASE_ID=1375
2014.12.31,Fillmore Auditorium,Denver,CO,USA,"SET I: Summit, Click Lang Echo > Moon Socket, New Dawn New Day > Move My Peeps > Kaya, Kabuki, Jebez SET II: Frequencies DnB > Frequencies Peace 2 > Frequencies Peace 3, Inspire Strikes Back, Countdown > Auld Lang Syne > Music Us, Life's Sweet Breath, March, Water Song, Scheme, Evasive Maneuvers > Potamus > Kamuy E: Squares & Cubes > By the Morning Sun
",http://digital.1320records.com/search/release.php?RELEASE_ID=1374
2014.12.05,Dominican Holidaze,,,Dominican Republic,"SET I: Frequencies Peace 2 > 3, Oil & Water, March, Orbital > Monkey Music, Walk to the Light, Hidden Hand Hidden Fist, Rent SET II: King Pharoah’s Tomb, Vapors, Tap-In, 20-12, Move My Peeps, Crystal Instrument, Inspire Strikes Back
",http://digital.1320records.com/search/release.php?RELEASE_ID=1373
2014.12.04,Dominican Holidaze,,,Dominican Republic,"SET: Metameme, Kaya, Grizzly, Pianoir, New Dawn New Day, Baraka, Possibilities, Poseidon, Firewall, Luma Daylight > Grow",http://digital.1320records.com/search/release.php?RELEASE_ID=1371
2014.12.03,Dominican Holidaze,,,Dominican Republic,"SET I: Really What?, Moon Socket, F. Word, Lo Swaga, Shock Doctrine, Arigato > Call Jam, Blu Mood, Totem SET II: Wika Chikana, When The Dust Settles Reprise, Love Don’t Terrorize, Equinox, Click Lang Echo > Water Song, World Go Round
",http://digital.1320records.com/search/release.php?RELEASE_ID=1369
2014.11.22,Fox Theater,Oakland,CA,USA,"SET I: New Dawn New Day, Golden Gate, Ramone & Emiglio > Monkey Music, Poseidon, Walk To the Light, Frequencies Peace 2 > 3, World Go Round SET II: Dance > Thank You (Falettinme Be Mice Elf Agin) > Dance, Vapors, Only Light Remains, Kamuy, Orbital > Hubble, Abcees > No Quarter > Abcees > No Quarter > Abcees E: Circus",http://digital.1320records.com/search/release.php?RELEASE_ID=1366
2014.11.21,The Wiltern,Los Angeles,CA,USA,"SET I: Epirus, Equinox > STS9 > Equinox, 20-12, GLOgli > Grow, Love Don’t Terrorize, Blu Mood, Scheme Reprise > What Is Love? SET II: Gobnugget > West LA Fadeaway > ReEmergence, Totem, Wika Chikana > Footsteps in the Dark > Wika Chikana > Click Lang Echo > Inspire Strikes Back, When the Dust Settles, Rent E: March, Life’s Sweet Breath",http://digital.1320records.com/search/release.php?RELEASE_ID=1363
2014.11.08,Austin Music Hall,Austin,TX,USA,"SET I: When the Dust Settles Reprise > This Us > Moon Socket, New Dawn New Day, Call Jam > Tap-In, Golden Gate, March, Instantly, Circus SET II: Really What? > Four Year Puma > Really What, F. Word, Trinocular > Vibyl, Crystal Instrument, Rent, World Go Round E1: Epirus, Summit E2: EHM",http://digital.1320records.com/search/release.php?RELEASE_ID=1359
2014.11.07,House of Blues,Dallas,TX,USA,"SET I: Totem, Tooth, King Pharoah's Tomb, The Rabble, The Paint, Jebez, Pianoir, Evasive Maneuvers, Kamuy SET II: Ramone & Emiglio, Vapors > Water Song, Click Lang Echo, Orbital > Monkey Music, Luma Daylight > Metameme, The Unquestionable Supremacy of Nature (Axed) > The Unquestionable Supremacy of Nature E: Baraka",http://digital.1320records.com/search/release.php?RELEASE_ID=1357
2014.11.06,Cain's Ballroom,Tulsa,OK,USA,"SET I: Warrior, Beyond Right Now, MOD, Nautilus > Aimlessly, Simulator > Blu Mood > Move My Peeps > Lo Swaga SET II: Equinox, Hubble, T.W.E.L.V.E. > Grow, Scheme, World Go Round, Hidden Hand Hidden Fist, Inspire Strikes Back E: Kaya, Life's Sweet Breath",http://digital.1320records.com/search/release.php?RELEASE_ID=1355
2014.11.05,George's Majestic,Fayetteville,AR,USA,"SET I: Frequencies 2 > 3, Gobnugget, Love Don't Terrorize, Oil & Water, Kamuy, Walk To The Light, Abcees, Wika Chikana SET II: Rent, Golden Gate, Four Year Puma, When The Dust Settles, Surreality > EB, EHM E: Possibilities, Totem",http://digital.1320records.com/search/release.php?RELEASE_ID=1353
2014.11.04,The Lyric,Oxford,MS,USA,"SET I: Be Nice, Grow, Shock Doctrine, Open E > Dance, Kabuki, Crystal Instrument, Arigato SET II: Click Lang Echo > Moonsocket > So It Goes, March, 20-12, GLOgli, What Is Love? E: Be Pulse, Inspire Strikes Back ",http://digital.1320records.com/search/release.php?RELEASE_ID=1351
2014.11.02,The Tabernacle,Atlanta,GA,USA,"SET I: Hidden Hand Hidden Fist, Instantly, Only Light Remains, Equinox, By the Morning Sun > Baraka (Tease) > By The Morning Sun, The Rabble, Firewall, Poseidon, When the Dust Settles Reprise SET II: Vapors, Totem, Kaya, Vibyl, Really What? > Kamuy, World Go Round E: Circus",http://digital.1320records.com/search/release.php?RELEASE_ID=1349
2014.11.01,The Tabernacle,Atlanta,GA,USA,"SET I: Epirus > New Dawn New Day > Surreality > EB, Native End > ReEmergence, Scheme, Abcees > Monkey Music, When the Dust Settles SET II: Love Don't Terrorize > Potamus > Love Don't Terrorize, F Word, MOD, Orbital > Hubble > Orbital, Walk to the Light, Rent > Frequencies Peace 3 > Rent E: Metameme, Red Clay",http://digital.1320records.com/search/release.php?RELEASE_ID=1347
2014.10.31,War Memorial,Nashville,TN,USA,"SET I:  Family Affair > When The Dust Settles, Gobnugget > Monkey Music, Mothership Connection (*), Wika Chikana, Oil & Water, Mobsters > Nautilus > Aimlessly SET II: Still Blastin’ 2028 Live Edit (Sub-ID) > Four Year Puma, Frequencies Peace 2 > 3, Dance > Give Up The Funk (Tear The Roof Off) > Dance > Give Up The Funk (Tear The Roof Off) > Dance, Crystal Instrument, Totem, World Go Round, Ramone & Emiglio E: Shakedown Street (*) Maureen Murphy on Vocals",http://digital.1320records.com/search/release.php?RELEASE_ID=1344
2014.10.30,Iron City Music Hall,Birmingham,AL,USA,"SET I: Golden Gate, Arigato, Rent, Click Lang Echo, Shock Doctrine, 20-12, The Unquestionable Supremacy of Nature SET II: Blu Mood, Move My Peeps, Tooth, March, Simulator, Luma Daylight, Inspire Strikes Back E: 986 Foot Tall Trees > ...And Some Are Angels 

",http://digital.1320records.com/search/release.php?RELEASE_ID=1342
2014.10.29,Track 29,Chattanooga,TN,USA,"SET I: Jebez, New Dawn New Day, Today, T.W.E.L.V.E., Moon Socket, Grow, Poseidon, Love Don't Terrorize, What Is Love? SET II: Bigs, One Two Three, Water Song, Breathe In, Crystal Instrument, When the Dust Settles, Kabuki E: Somesing, From Now On",http://digital.1320records.com/search/release.php?RELEASE_ID=1340
2014.10.25,Thomas Wolfe Auditorium,Asheville,NC,USA,"SET I: Walk to the Light, Abcees > King Pharaoh's Tomb > Exodus > King Pharaoh's Tomb > Gobnugget, The Rabble, Pianoir, Vapors > Only Light Remains, Click Lang Echo > Summit SET II: Really What? >  Four Year Puma, Hubble > Orbital > Hubble, World Go Round, EHM, Kamuy",http://digital.1320records.com/search/release.php?RELEASE_ID=1336
2014.10.24,Tennessee Theatre,Knoxville,TN,USA,"SET I: Epirus >Tap-In, Orbital > Lo Swaga, Inspire Strikes Back, Vibyl, Beyond Right Now, Equinox, Glogli SET II: Awesome Feat. Cool Kids (STS9 remix) > The Unquestionable Supremacy of Nature, Blu Mood, Golden Gate, Frequencies DNB > Mischief of a Sleepwalker > Frequencies DNB > Frequencies 2 > 3 > Scheme, Totem E: Circus, Baraka",http://digital.1320records.com/search/release.php?RELEASE_ID=1334
2014.10.23,The National,Richmond,VA,USA,"SET I: Twilight > Oil & Water, Click Lang Echo > Rent, Grow, 20-12, New Dawn New Day, What is Love?, March SET II: Wika Chikana, Arigato, Kaya, Shock Doctrine, F. Word, Monkey Music, When The Dust Settles Reprise, World Go Round E:  ROYGBIV > Simulator.",http://digital.1320records.com/search/release.php?RELEASE_ID=1332
2014.10.22,The Jefferson Theatre,Charlottesville,VA,USA,"SET I: This Us > Moon Socket, Love Dont Terrorize, Luma Daylight  > Tokyo, The Paint  > Abcees, Crystal Instrument, Vapors SET II: Warrior, MOD, Call Jam > Hidden Hand Hidden Fist > Call Jam > Tap In, Ramone & Emiglio, Golden Gate > When The Dust Settles E: Dance, Instantly ",http://digital.1320records.com/search/release.php?RELEASE_ID=1330
2014.10.21,9:30 Club,,,Washington D.C.,"SET I: Circus, Totem, Evasive Maneuvers, Kamuy, Only Light Remains, Metameme, Squares & Cubes, Kabuki, Firewall SET II: Walk To The Light, One Two Three, Four Year Puma, Scheme Reprise, Move My Peeps, Hubble, World Go Round, Inspire Strikes Back E: Possibilities, Music Us",http://digital.1320records.com/search/release.php?RELEASE_ID=1327
2014.10.18,The Tower Theatre,Upper Darby,PA,USA,"SET I: Rent, Crystal Instrument, World Goes Round, Kaya, Monkey Music, When The Dust Settles Reprise, Simulator, Jebez SET II: First Tube (*) > Moon Socket > First Tube > Moon Socket, Click Lang Echo, Circus, 20-12, Dance > Inspire Strikes Back, Scheme E: Pianoir, EHM, Breathe In

(*) first time played.",http://digital.1320records.com/search/release.php?RELEASE_ID=1321
2014.10.17,Best Buy Theater,,,New York. NY,"SET I: Native End > ReEmergence, Vapors, Only Light Remains, Equinox, Golden Gate, 4 Year Puma > Totem SET II: Oil & Water, Walk to The Light, Blu Mood, Scheme Reprise, Kamuy, When The Dust Settles, Ramone & Emiglio, World Go Round E: The Human Abstract, Potamus Jam > Gobnugget
",http://digital.1320records.com/search/release.php?RELEASE_ID=1319
2014.10.16,State Theatre,Portland,ME,USA,"SET I: Be Nice, Move My Peeps, T.W.E.L.V.E., South of Here, Poseidon, Beyond Right Now, Rent, The Rabble SET II: Totem, Frequencies Peace 2 > 3, Moon Socket > So It Goes, Click Lang Echo > One, Two, Three, Mobsters > Surreality > EB E: Grizzly > Baraka",http://digital.1320records.com/search/release.php?RELEASE_ID=1317
2014.10.12,The Orbit Room,Grand Rapids,MI,USA,"SET I: Unquestionable Supremacy of Nature, Only Light Remains, This Us, Instantly, Wika Chikina, Orbital, Blu Mood, Love Don't Terrorize, Really What? Set II: Luma Daylight >, Tokyo, March > Scheme Reprise > What Is Love?, Arigato > Blu Mood Reprise, World Go Round > Totem E: Jebez, Kabuki",http://digital.1320records.com/search/release.php?RELEASE_ID=1315
2014.10.11,The Fillmore,Detroit,MI,USA,"Set I: New Dawn, New Day, Move My Peeps > Monkey Music, Oil & Water, Pianoir, Abcees, Click Lang Echo, Rent Set II: When The Dust Settles Reprise, Kaya, Ramone & Emiglio, Walk to the Light, Vapors, Moonsocket, EHM E: Hubble, Firewall",http://digital.1320records.com/search/release.php?RELEASE_ID=1313
